#Tue Sep 21 10:39:14 2021
# copy the contents of this file into (location TBD) to update CODA thresholds for detector bb.gem
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms (for average over time samples)
APV               20              11               7               0
             102           17.83            6.29
             103           19.69            6.78
             104          -31.06           7.294
             105          -6.669           6.978
             106           23.35           6.282
             107           14.13           7.902
             108          -9.926           6.293
             109           6.937           7.419
             110           38.95            6.17
             111            67.4           9.157
             112          -24.95           6.621
             113          -11.91           6.051
             114           19.82            5.91
             115           15.89            6.08
             116          -34.88           6.738
             117          -5.806           5.927
             118           23.74           5.415
             119           24.22           6.235
             120          -8.122           6.534
             121           2.528           5.975
             122           42.99           5.627
             123           36.41           7.546
             124          -9.845           5.896
             125          -0.401           6.183
             126           28.59           5.985
             127           64.65           9.256
APV               20              11               7               3
               0           125.4           35.63
               1          -40.47           30.94
               2          -2.021           29.67
               3          0.9347           28.66
               4          -212.7           10.92
               5          -81.52           7.988
               6           7.886           8.339
               7           36.61           8.535
               8          -68.07           7.587
               9           -48.4           6.901
              10           21.67           7.316
              11           51.14           8.235
              12          -46.05           8.233
              13          -26.06           6.814
              14           57.42           7.481
              15           72.66           8.701
              16          -20.95           7.789
              17          -34.42           7.023
              18          -0.617           7.376
              19           49.77           7.945
              20          -92.34           7.541
              21          -32.12           7.004
              22           17.18           6.297
              23           66.82           6.966
              24           -62.1           7.263
              25           -32.7           6.951
              26           35.67           6.335
              27           59.39           7.366
              28          -49.57           6.893
              29          -39.09           6.931
              30           47.41           6.476
              31           66.01           8.057
              32          -71.37           7.626
              33          -47.44            6.94
              34            9.02           6.888
              35            53.9           8.171
              36          -62.43           7.505
              37          -51.35           6.657
              38           27.46           6.884
              39           65.34           8.477
              40          -50.55           7.799
              41          -43.55            6.93
              42           35.27           7.648
              43           57.47           8.844
              44          -51.25           7.332
              45          -25.32           8.499
              46           41.15           7.475
              47           81.27           9.606
              48          -51.95           7.449
              49          -47.97           6.731
              50          -12.02           7.156
              51           32.88           8.025
              52           -80.9           7.472
              53          -43.32           7.059
              54           30.37           6.373
              55           59.15           6.682
              56             -64           7.049
              57          -36.66           6.675
              58           33.33           6.727
              59           66.34           7.501
              60          -29.22           6.783
              61          -20.17           6.957
              62           45.53           6.382
              63            48.5           8.852
              64          -61.96           7.616
              65          -29.29           6.846
              66           6.136           6.951
              67            64.9           8.187
              68          -68.84           7.744
              69          -32.86            6.55
              70           10.28           6.993
              71           51.33           8.111
              72          -43.05           7.901
              73          -39.86           6.411
              74              39           6.881
              75           47.89           8.553
              76          -34.22            7.15
              77          -0.668           7.257
              78           45.29           7.092
              79           76.95           9.603
              80          -59.86           7.309
              81          -26.19           6.819
              82           11.52           6.708
              83           59.86           8.709
              84          -49.62           7.626
              85          -29.97           7.003
              86           12.84           6.239
              87           60.65           6.994
              88          -65.84           7.029
              89           -33.7           6.951
              90           37.11           6.109
              91           53.75            7.69
              92          -38.32           6.846
              93          -12.58           7.047
              94           71.03           6.152
              95            86.1           9.173
              96          -41.78           7.664
              97          -32.17            6.64
              98           1.947            7.36
              99           54.37           8.362
             100          -57.42           7.748
             101          -34.25           6.583
             102           37.89           7.217
             103            41.4           8.157
             104          -44.26             7.9
             105          -22.93           7.931
             106           34.15           7.093
             107           53.46           8.706
             108          -56.27           6.829
             109          -24.78           8.236
             110           67.35            7.92
             111           81.64           10.22
             112          -66.71           7.278
             113          -24.08           6.739
             114           16.58           6.516
             115           51.35           11.04
             116          -65.73           7.486
             117          -33.15           6.669
             118           34.51           6.003
             119           63.33            6.78
             120          -61.85           7.048
             121          -28.57           6.793
             122           47.91           6.092
             123            71.5           7.872
             124          -46.57           6.515
             125          -13.55           6.958
             126           66.46           6.588
             127           96.38           10.48
APV               20              11               7               4
               0           176.5           40.61
               1          -2.434           35.19
               2          -8.776           33.25
               3          -47.03           32.99
               4          -189.5           10.75
               5          -50.68           7.881
               6          -4.046           8.865
               7           0.507           7.325
               8          -40.28           6.615
               9          -9.384           6.104
              10           -10.8           6.774
              11           40.83           7.365
              12          -47.84           7.251
              13          -9.887           6.025
              14           12.44           6.577
              15           43.97           7.483
              16          -19.67           6.859
              17           -29.5           6.189
              18           16.03           8.765
              19           11.99           6.281
              20          -51.11           6.721
              21          -14.85           6.296
              22           10.05           6.533
              23           11.15           5.939
              24          -50.57           6.302
              25           -6.77           6.124
              26            23.1           6.034
              27           32.85           6.477
              28          -49.33           6.033
              29          -13.25           6.315
              30           15.93           5.981
              31           47.76           7.131
              32          -37.41           6.776
              33          -10.19            6.49
              34           11.64           6.637
              35           23.85           7.256
              36          -56.96           6.817
              37          -7.382           6.143
              38            7.46            6.85
              39           21.91           7.173
              40          -47.23           6.955
              41          -11.86           6.098
              42           17.54           7.392
              43           40.06           7.593
              44          -37.98           6.799
              45          -3.574           7.187
              46           38.14           6.781
              47           56.04           8.125
              48          -45.17           6.589
              49          -20.26           6.042
              50          -9.255            7.47
              51           21.53            6.04
              52          -41.38           6.652
              53           -5.64           6.202
              54           21.62           6.225
              55           19.06           5.981
              56          -43.29           6.239
              57           5.114           6.183
              58           18.51           6.045
              59           54.64           6.855
              60          -23.53           5.909
              61           4.978            6.67
              62           19.56           5.837
              63           67.88           7.814
              64          -44.56           6.511
              65          -11.84           6.145
              66           14.91           7.464
              67           22.82           6.849
              68          -60.46           6.716
              69          -4.487           5.883
              70           2.263           6.914
              71           27.52           6.723
              72          -37.43           6.627
              73          -9.883           5.792
              74            28.2           6.712
              75           50.64           7.347
              76          -28.45           6.353
              77           1.971           6.136
              78           17.68           6.154
              79           64.41           8.094
              80           -32.4           6.595
              81           -27.3           5.933
              82           11.76           6.808
              83           36.01           5.954
              84          -42.87            6.62
              85          -5.093           6.447
              86           20.29           6.286
              87           15.83           6.045
              88          -37.48            6.14
              89          -13.36           6.388
              90            9.57           5.961
              91           43.45           6.741
              92            -6.2               6
              93          -14.01           7.068
              94           13.22           5.617
              95           73.21           7.813
              96          -60.38           6.684
              97          -32.52           6.152
              98           5.135           7.371
              99           21.83           7.523
             100          -45.82           6.562
             101          -10.38           6.062
             102           3.261           6.779
             103           31.26           7.162
             104          -41.77           6.914
             105          -6.939           6.506
             106            13.5           6.778
             107            40.6           7.488
             108          -20.43           6.383
             109           9.234            6.97
             110              26           6.648
             111           69.74           8.693
             112          -23.96           6.513
             113           -11.2           5.999
             114           18.69           6.577
             115           26.57           5.956
             116          -48.92           6.407
             117          -11.19           5.851
             118          -3.707           5.785
             119           42.91           6.044
             120          -34.44           6.114
             121          -30.83           6.002
             122           29.95           5.679
             123            45.3           7.036
             124          -23.83           5.881
             125          -12.09           7.506
             126           17.46           5.867
             127           103.8           8.884
APV               20              11               7               5
               0           195.5           43.55
               1          -66.89           37.33
               2          -22.89           34.93
               3          -21.25           35.14
               4          -203.4           12.07
               5            -131           9.394
               6           2.586           9.941
               7           12.18           7.835
               8          -71.92           8.039
               9          -29.95           6.301
              10           36.78           7.256
              11            22.6           7.476
              12          -85.72           6.962
              13           -14.3           6.141
              14           46.82            7.07
              15           71.57           7.916
              16          -21.84           7.478
              17           -72.3           7.649
              18            22.9           9.978
              19           34.08            6.56
              20          -84.11           7.019
              21          -52.46           6.357
              22           44.86            6.85
              23           34.42            6.01
              24          -52.28           7.699
              25           -34.6           6.567
              26           50.92           6.156
              27           32.24           6.617
              28          -49.72           7.147
              29          -14.99             6.8
              30           52.54           6.131
              31           69.36           7.299
              32          -53.86           8.198
              33          -90.83           7.696
              34           27.42           6.683
              35           45.17           7.595
              36          -55.07           8.263
              37          -45.99            6.51
              38            56.5           7.237
              39           43.97           7.595
              40          -58.85           8.332
              41          -22.26           6.132
              42           41.08           7.774
              43           48.42            7.84
              44          -71.41            8.33
              45          -4.701           7.182
              46           53.87            7.05
              47           62.83           8.468
              48          -40.39            7.98
              49          -72.25           7.807
              50           15.69           8.669
              51           36.86           6.085
              52          -60.99           7.951
              53          -50.29           6.668
              54           41.59           6.608
              55           38.16           5.914
              56          -49.16           7.688
              57          -24.56           6.672
              58           37.17           6.467
              59           61.17           6.706
              60          -37.62           6.779
              61          -13.13           7.199
              62           53.65           6.162
              63           90.31           8.092
              64          -51.53           7.941
              65          -76.65           7.964
              66           29.18           8.206
              67           37.69           7.533
              68          -80.67           7.439
              69          -72.25           7.289
              70           45.59           7.427
              71           28.66           7.242
              72          -52.26           8.279
              73          -12.76           5.848
              74           64.07           6.906
              75           56.88           7.628
              76          -55.15           8.066
              77          0.4023           6.247
              78           47.24           6.512
              79           83.56           8.451
              80          -48.23           8.211
              81          -51.68           6.683
              82           40.35           7.578
              83           44.73           6.038
              84           -57.4           8.005
              85          -40.84           6.291
              86           39.25           6.402
              87           56.56           6.252
              88           -45.6           7.422
              89          -20.18           6.608
              90           48.79           5.836
              91           52.09           6.857
              92          -57.72           7.193
              93          -11.52           7.662
              94            40.2           5.733
              95           94.26           8.468
              96          -45.04           8.098
              97          -54.96           7.185
              98           36.31           7.995
              99           48.25           7.626
             100          -55.23           8.171
             101          -48.93           6.479
             102           33.19           7.034
             103           45.42           7.173
             104          -52.33           8.625
             105          -4.757           6.554
             106           53.21           6.855
             107           68.13           7.979
             108          -50.36           7.828
             109           21.35           6.754
             110           54.76           7.034
             111           111.7           9.342
             112          -47.47           7.786
             113          -65.78           7.229
             114           33.79           6.983
             115           18.36           5.804
             116          -75.54            7.76
             117          -26.09           5.992
             118           45.92           6.082
             119           25.16           6.023
             120          -58.53           7.611
             121          -22.19           6.372
             122           41.92           5.874
             123           64.79           7.298
             124          -43.25           6.765
             125           1.673           8.451
             126            50.8           6.503
             127           118.4           9.305
APV               20              11               7               6
               0           97.84           40.61
               1          -27.81           35.33
               2           15.07           33.33
               3          -2.257           33.53
               4          -233.8           11.24
               5          -66.57           8.015
               6          -16.83           8.868
               7           15.51           7.624
               8          -104.6           6.622
               9          -13.16           6.427
              10           39.88            6.86
              11            51.8           7.454
              12          -74.46           7.101
              13           14.68           6.386
              14           43.11           6.761
              15           56.47           7.542
              16          -106.7           6.589
              17          -59.67           6.275
              18           15.92           8.789
              19           40.79           6.246
              20             -95            6.59
              21          -35.59           6.293
              22          -2.604           6.174
              23           36.71           5.983
              24          -83.42           6.374
              25           3.873           6.469
              26           18.62           6.016
              27           59.54           6.386
              28          -50.35           6.229
              29           42.89            6.68
              30           38.24           5.985
              31           64.43           7.239
              32          -113.9           6.498
              33           -40.7           6.738
              34           23.56           6.528
              35            59.4           7.336
              36          -103.3           6.538
              37          -7.574           6.408
              38           44.66           6.831
              39           40.56           7.322
              40          -87.22           6.884
              41           16.44           6.233
              42           43.83            7.42
              43           74.22           7.871
              44          -57.03           6.888
              45           26.64           7.471
              46           25.33           6.711
              47           51.95           8.278
              48          -115.2           6.369
              49          -39.74           6.157
              50           5.391           7.694
              51           50.66           6.006
              52          -82.93           6.401
              53          -2.314           6.216
              54           4.133           6.184
              55           44.64            5.82
              56          -88.03           6.237
              57          -1.444           6.466
              58           43.59           6.229
              59           57.42           6.517
              60          -61.17               6
              61           22.84           6.789
              62           49.47            5.87
              63           76.28           7.726
              64          -100.9           6.651
              65          -51.23           6.195
              66           23.95           7.509
              67            53.9           7.511
              68          -87.76           6.483
              69          -12.39           6.143
              70           28.19           7.126
              71           47.55           7.202
              72          -90.81           6.738
              73           35.98           6.005
              74           34.86            6.67
              75           72.67           7.382
              76          -66.81           6.398
              77            13.4           6.381
              78           28.17           6.536
              79           67.15           8.149
              80          -90.28           6.556
              81          -16.25           6.138
              82           20.94           6.925
              83           36.85           6.022
              84          -90.58           6.621
              85           -6.26           6.253
              86           18.88            5.98
              87           49.72           5.986
              88          -93.79           6.066
              89           25.96           6.324
              90           50.34           5.793
              91           67.08           6.715
              92          -63.21           5.901
              93           17.71           7.026
              94           40.25           5.652
              95           69.47           7.892
              96          -104.6            6.48
              97          -32.29            6.26
              98           39.82           7.629
              99            43.7           7.967
             100          -84.52           6.549
             101          -3.355            6.07
             102            25.9           6.747
             103           52.15           7.312
             104          -74.08           6.869
             105           29.81           7.003
             106           60.19           6.921
             107           66.79           7.615
             108          -42.62             6.4
             109           37.33           7.022
             110           65.68            7.21
             111           74.54           9.088
             112          -90.64           6.388
             113          -15.76           6.235
             114           28.26           6.599
             115           34.23           5.877
             116          -76.46           6.245
             117           12.78           6.029
             118           10.81           5.772
             119           58.93           6.205
             120          -53.01           6.073
             121           12.76           6.486
             122           43.66           5.808
             123           70.71           7.069
             124          -40.69           5.851
             125           31.21           7.589
             126           47.31           6.042
             127           96.41           8.723
APV               20              11               7               7
               0           174.1           41.34
               1          -42.06           36.27
               2          -64.25           34.27
               3          -20.88           34.35
               4          -179.1           10.48
               5          -95.99           8.111
               6          -36.84           7.503
               7           38.24           8.489
               8          -39.68            5.64
               9          -66.12           6.041
              10           8.524           8.508
              11           71.55           9.439
              12           -63.4            5.45
